missing_col,col2,col3,outliers_col,outliers_col2,categorical_col,ordinal_col,text_col
52.0,68.0,0.8362860798198124,22,0.283115198009857,dog,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
87.0,3.0,1.7570516271741992,-56,0.341142986110278,mouse,normal,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
16.0,78.0,5.399773331300354,-23,0.5048995330988553,elephant,good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
,7.0,1.3684008520455877,60,0.3238432249189536,elephant,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
59.0,5.0,0.5138905242525946,-9,1.6622756513426031,cat,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
26.0,87.0,0.8696169627430587,72,2.017738988250248,dog,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
45.0,55.0,0.8809233964961967,-88,2.746578726104631,cat,good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
78.0,80.0,0.44667849054893166,39,0.255480681959444,elephant,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
23.0,91.0,7.069714357050968,-75,2.354841280018418,elephant,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
,45.0,0.743009919647346,39,1384.960561775148,cat,normal,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
11.0,47.0,2.928189782807722,-1,1232.476176881784,mouse,very good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
8.0,24.0,0.4281368860094626,37,0.2625930868773746,mouse,very bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
85.0,76.0,0.6604358352185609,-14,1.0370171560667572,dog,very good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
45.0,84.0,0.7782892900652943,-73,1.765542427614868,cat,normal,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
34.0,29.0,1.5157449974253323,96,1.7843046340354796,elephant,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
40.0,80.0,1.6131098779946442,5,0.2718753813243902,elephant,very good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
35.0,51.0,0.7488730302014729,25,3.9764624292578814,dog,normal,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
91.0,89.0,2.847401583472624,-75,0.7396573894409556,dog,normal,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
26.0,32.0,1.1814741479987703,0,0.2792271634650694,cat,good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
9.0,92.0,1.0582298515918398,99,0.08086099015590241,mouse,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
0.0,75.0,0.19780748104955886,-52,0.34471114532819697,elephant,very good,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
92.0,6.0,0.21639224347027453,-9,1.5341886445979185,dog,very bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
,34.0,2.963688668521555,82,0.5051771528837483,dog,very good,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
,7.0,0.5792428786615791,21,1.1218552053493283,dog,bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
23.0,42.0,0.5484768557020732,-26,0.33727032558733355,elephant,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
85.0,35.0,0.6848636331967969,2,0.6054157173455624,dog,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
36.0,7.0,0.9508674991161387,84,2.073724287520744,mouse,normal,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
56.0,75.0,0.38829978692448747,21,8.088068043984027,elephant,very bad,"
In a hole in the ground there lived a hobbit."
16.0,90.0,3.196609716244242,9,2.2748464426149835,mouse,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
23.0,85.0,1.322570707899294,80,0.031914970897206046,elephant,good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
2.0,71.0,1.379708920146289,-12,1.0453816422923867,elephant,very bad,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
84.0,68.0,0.9235280033806245,-79,0.19778528641783158,elephant,good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
22.0,78.0,1.3721702846962094,34,0.7527639851125347,dog,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
74.0,44.0,1.957372953695864,21,2.59596369681279,cat,very bad,"
In a hole in the ground there lived a hobbit."
7.0,90.0,1.7715850514153781,-94,0.41365427636550695,dog,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
86.0,29.0,0.3192254055024208,-22,0.5397885833479696,mouse,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
7.0,52.0,0.6536068261526893,49,1.5371673999861473,dog,very bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
76.0,56.0,0.9520121635365393,-46,0.372042602961106,dog,good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
43.0,40.0,0.5354464808035645,39,0.47088212470607993,elephant,normal,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
42.0,72.0,0.7816767817075936,-47,1.0002117860367827,dog,normal,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
95.0,70.0,3.6237466883814973,-70,1.3048364609382221,elephant,normal,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
99.0,6.0,0.8940705953030827,-48,2.1399215780950813,cat,very good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
,98.0,1.2974605408744222,6,1.6216998492717751,cat,good,"
In a hole in the ground there lived a hobbit."
,66.0,1.5364496693858962,51,0.5834943717214892,dog,good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
,64.0,0.3248490111270027,2,908.0026680101946,mouse,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
67.0,12.0,0.3475753053754184,82,1.140047613886541,elephant,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
44.0,31.0,8.731886740293845,-88,0.16084751167415487,dog,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
82.0,84.0,1.8376272234788262,70,0.6376907088654025,cat,very bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
7.0,1.0,0.6216833379416825,94,0.6197148206111965,elephant,normal,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
32.0,0.0,0.524781530745818,-55,0.5777491654401077,mouse,bad,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
90.0,18.0,1.9793249808094486,74,0.4296090697587099,cat,very bad,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
24.0,41.0,0.816417090872693,32,3.470766024445163,cat,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
48.0,84.0,1.4929738138043307,-44,0.8975259263329978,dog,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
83.0,59.0,2.0406754529759485,45,4.207982683747091,elephant,very good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
86.0,26.0,0.10400115687793375,16,1.3263063189567235,mouse,normal,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
,22.0,1.2055049307009178,-8,0.6382342139655122,dog,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
9.0,21.0,0.512353251768581,-83,0.6145156778264199,cat,very good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
68.0,17.0,12.978140992611284,44,0.43924672768525536,elephant,good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
41.0,38.0,8.460733187192044,84,0.3516636991505048,dog,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
16.0,12.0,1.3520234370529678,-65,2.7130654212450045,mouse,very bad,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
87.0,86.0,1.1159838580472792,92,0.5751068774272731,elephant,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
,80.0,4.4556845220966945,6,0.13367283784929176,dog,very bad,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
19.0,18.0,1.8733710324512232,25,2.154966574572965,mouse,good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
84.0,77.0,1.3852395771313148,-65,0.656730772785373,elephant,bad,"
In a hole in the ground there lived a hobbit."
39.0,3.0,2.208059262446479,180,0.5312437736738451,mouse,very good,"
In a hole in the ground there lived a hobbit."
68.0,1.0,1.4043668448866873,36,0.15422553024601923,cat,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
76.0,95.0,0.8564231008371348,-17,9.334643642274427,dog,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
34.0,75.0,0.6053272486659708,-45,0.3600604500846526,elephant,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
66.0,18.0,3.0266288578702234,-4,2.663676649523041,cat,very bad,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
23.0,25.0,4.152560006980148,43,1.0695205866723627,elephant,very good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
40.0,27.0,0.6121519191800574,-55,0.9114795322667855,elephant,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
47.0,45.0,0.8488641939523792,62,0.31237663695163026,mouse,bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
,74.0,0.4856155250398968,43,0.9211493251275399,elephant,very good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
96.0,27.0,0.47549567056412256,1,2.6568337512129374,mouse,bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
89.0,26.0,2.6340297069314835,-70,312.06543596552405,elephant,very bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
56.0,73.0,2.6516374746431945,62,1.3311741719186616,dog,very good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
35.0,66.0,0.4233724931810831,-52,1.2029638296378093,cat,good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
32.0,54.0,1.5937722389542244,-14,0.7220177699665753,elephant,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
30.0,20.0,0.9294490147357352,40,0.9596636991746331,elephant,very good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
32.0,85.0,0.5125709655069062,-80,0.2623766862764862,mouse,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
52.0,80.0,0.04123953920318652,-37,5.453829086171626,elephant,bad,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
48.0,73.0,0.264649855696139,1,0.6577902237770318,cat,bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
33.0,73.0,2.4876691869554577,-47,1.1038225572641793,cat,very bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
19.0,9.0,1.6430201388300494,-10,0.6465300432905637,dog,bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
92.0,24.0,0.8535903694823926,100,0.10557596551922267,cat,very good,"
In a hole in the ground there lived a hobbit."
19.0,46.0,0.34588661949425387,-20,0.4688724889998073,elephant,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
78.0,72.0,2.4972537144517553,79,2.00918330526587,dog,good,"
In a hole in the ground there lived a hobbit."
56.0,88.0,1.8457584591399478,76,0.4533657830678809,mouse,very good,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
50.0,66.0,0.2739007467348136,-61,0.5448925726864038,dog,good,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
91.0,24.0,0.5237018107095924,-46,0.6946067165807058,mouse,normal,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
56.0,40.0,0.938703542503622,84,0.2994122041203909,mouse,normal,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
78.0,31.0,1.924854584620255,85,2.0871851159597736,dog,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
72.0,63.0,0.42811005533659746,-6,0.3364103082299697,dog,good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
47.0,21.0,2.213221112238564,-62,0.9406727701511852,elephant,very good,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
91.0,43.0,0.49565122181214855,-78,0.14322206869019674,dog,normal,"This hobbit was a very well-to-do hobbit, and his name was Baggins."
51.0,33.0,9.179182326745366,14,1.5335259385831141,mouse,bad,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
81.0,76.0,4.513850844694012,89,0.6925287499705367,elephant,good,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
42.0,19.0,1.343394311542383,49,6.855256409655458,dog,good,"
In a hole in the ground there lived a hobbit."
59.0,66.0,1.4272275871380533,17,1.6116257709813568,elephant,good,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
34.0,76.0,2.3991101207272925,53,4.460875759951706,mouse,very bad,"
In a hole in the ground there lived a hobbit."
44.0,19.0,0.7799050289538179,-56,1.864368513844059,mouse,very bad,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
30.0,30.0,0.37126765938850326,87,0.4943252061376604,cat,very good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
54.0,83.0,2.112576540000664,89,0.4438977102114431,cat,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
39.0,75.0,1.9190843242160744,95,0.41995909061549364,cat,very bad,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
,18.0,0.4033544456400674,72,1.0291701984366617,mouse,normal,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
12.0,78.0,2.9010998902507956,-96,1.094624575026973,cat,normal,"He may have lost the neighbours’ respect, but he gained – well, you will see whether he gained anything in the end."
86.0,77.0,2.305535193630312,3,0.9602404742904457,cat,bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
67.0,34.0,0.9767530893232891,55,1.355377474830837,cat,good,"The Bagginses had lived in the neighbourhood of The Hill for time out of mind, and people considered them very respectable, not only because most of them were rich, but also because they never had any adventures or did anything unexpected: you could tell what a Baggins would say on any question without the bother of asking him."
75.0,85.0,1.2742928721378208,-16,0.24228771531619303,mouse,bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
96.0,21.0,4.223685440475136,-84,1.3242028855926449,mouse,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
78.0,62.0,3.555208740854022,33,2.1870417245991853,mouse,very bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
68.0,96.0,3.248692754874705,16,7.097951783907845,elephant,very good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
28.0,45.0,0.8100851345041536,72,2.0182691930433276,dog,normal,"
In a hole in the ground there lived a hobbit."
52.0,17.0,0.5032517254866304,79,0.6409489592840486,cat,bad,"
In a hole in the ground there lived a hobbit."
40.0,97.0,0.8450534523197262,-9,0.32679727092429894,dog,bad,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
16.0,44.0,1.368528737059602,-17,0.15797817797935917,cat,very bad,"
In a hole in the ground there lived a hobbit."
25.0,87.0,4.674836665119986,92,0.4699441591260212,dog,good,"Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat; it was a hobbit-hole, and that means comfort."
,12.0,0.6680178486562409,-19,1.5623036982341791,elephant,good,"The best rooms were all on the left-hand side (going in), for these were the only ones to have windows, deep-set round windows looking over his garden, and meadows beyond, sloping down to the river."
7.0,65.0,8.352833890885822,-68,0.3970474162994617,elephant,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
96.0,63.0,3.850779027399494,-38,0.21751231231257892,cat,very good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
10.0,80.0,0.7164052627484792,-73,3.5606133410193115,dog,good,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
0.0,52.0,1.6230043818837787,22,0.421999344311081,mouse,very bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
78.0,67.0,2.8580840739204225,-21,1.5029957230024602,dog,very bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
39.0,80.0,5.158503239288344,19,0.441776012595266,dog,very bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
90.0,4.0,1.7368804675435312,2,1.1471575420362272,dog,bad,"
In a hole in the ground there lived a hobbit."
79.0,41.0,0.9269236143869395,17,0.28782324063442194,mouse,bad,"This is a story of how a Baggins had an adventure, and found himself doing and saying things altogether unexpected."
24.0,37.0,2.9395801873123655,-19,0.946906633918355,dog,good,"The tunnel wound on and on, going fairly but not quite straight into the side of the hill – The Hill, as all the people for many miles round called it – and many little round doors opened out of it, first on one side and then on another."
91.0,96.0,1.2570732289709026,-71,2.4921718874824217,dog,bad,"No going upstairs for the hobbit: bedrooms, bathrooms, cellars, pantries (lots of these), wardrobes (he had whole rooms devoted to clothes), kitchens, dining-rooms, all were on the same floor, and indeed on the same passage."
,22.0,0.2696810635261769,-43,1.0961230700302955,elephant,bad,"The door opened on to a tube-shaped hall like a tunnel: a very comfortable tunnel without smoke, with paneled walls, and floors tiled and carpeted, provided with polished chairs, and lots and lots of pegs for hats and coats – the hobbit was fond of visitors."
1.0,68.0,1.0067690823886093,13,2.3823168556507657,cat,bad,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
81.0,98.0,2.662200582415488,-85,2.23001604883898,elephant,normal,"
In a hole in the ground there lived a hobbit."
82.0,37.0,0.4141001585242237,-67,0.3955835320060395,elephant,very good,"It had a perfectly round door like a porthole, painted green, with a shiny yellow brass knob in the exact middle."
